201150,196066,14
205588,50753,4
49796,11987,3
43657,24752,4
39571,29666,7
41620,16236,5
60054,19953,4
8868,54454,3
205837,41206,4
58030,14844,3
25264,88759,4
21170,1815,1
205491,10534,1
47796,366237,85
49847,24397,4
51897,8400,11
62140,9161,2
58053,2149,3
47817,8011,1
62157,11671,3
49872,30413,14
205521,8369,5
25306,352192,32
197343,53491,12
58080,10551,2
58081,42232,6
39650,29634,5
47843,303246,33
58085,88554,23
43754,1187735,317
49906,61389,11
62250,10555,6
58121,72517,7
58125,1376,1
60178,55887,3
62229,6162,2
58142,213745,37
35615,19157,3
203558,10170,1
58152,18381,1
62153,22889,7
58161,2789,1
205622,5711,1
58169,7493,1
31549,1893191,257
201540,463808,30
62263,7819,1
62284,38854,24
205647,41095,5
52049,10654,1
58201,32898,1
58202,184114,13
21341,600291,69
60256,54492,4
52070,56507,3
58216,14529,1
35690,20813,5
48274,5325,3
62318,6739,1
58224,3212565,238
47990,82930,13
201194,48706,7
62334,16199,3
41856,21596,11
50057,20113,5
58251,1091,1
58256,448935,64
205843,6432,1
50070,6539,1
57497,230892,19
41881,1464769,115
62362,5538,1
58267,2495,1
64413,88245,9
64414,5119,1
60320,19320,1
203684,81727,7
52137,3080,1
21419,155449,12
52140,5442,1
13231,37467,6
60340,10900,2
52155,36682,3
43965,67813,13
58303,45512,9
50114,10012,2
202571,8163,2
59553,15893,1
64460,1316,1
199633,21724,1
201689,102599,5
58331,285588,10
58333,15373,2
58338,17757,1
52196,1497,1
50160,33267,7
52210,5194,1
31732,28099,13
60407,4797,2
48121,14211,2
50177,1647,1
205833,11188,1
44045,14953,5
60248,1354,2
48147,20228,10
60932,5345,2
48159,3192243,194
44072,13086,2
56375,19685,3
44090,272454,13
42043,12118,4
61962,26988,2
203616,29331,4
205894,81823,5
205899,24110,3
56402,219479,42
50259,23074,9
205643,14352,3
50269,25859,9
60512,9282,1
64482,22404,4
60516,12975,3
203895,50271,4
57936,18021,3
44170,78100,3
56461,10058,2
56466,125034,19
48281,109180,10
60571,4203,1
48289,41754,2
199849,9995,4
205997,25193,5
203951,5309,1
44208,907997,69
42163,14729,3
48309,631123,72
56503,666848,44
206013,6130,1
3263,14826,1
44243,6113,1
44244,4361517,342
60631,14687,2
60637,3534,1
60638,4069,3
204001,34312,4
56547,17361,3
48359,165655,19
204010,15454,5
206065,94806,11
60627,40333,8
15611,51651,24
44285,76136,22
201259,3431,1
51074,177717,37
201999,68375,8
50460,2757,1
34078,27012,4
56616,73167,10
48431,20569,8
48434,129242,28
29577,145109,9
56632,21839,12
44349,33387,2
15696,48018,13
56660,14628,1
44375,50190,12
42337,909704,340
50530,244258,19
5484,154401,30
56687,134215,5
44400,160705,12
60786,63664,4
57577,85610,5
44410,10134,1
50558,183025,30
56703,5688,2
206210,4951,1
58262,64522,8
44609,1166,1
60808,1241,1
206217,6858,4
50591,62403,25
60315,9097,2
5542,18380,5
48551,125029,10
56746,3343,1
48555,30296,12
204213,127892,11
62367,7109,1
56765,23053,7
48592,56134,5
44498,21683,13
15828,27298,4
60887,2690,1
42461,14164,5
48608,112250,7
12880,3481312,216
42468,10338,4
64422,6073,1
62375,18523,1
56815,20482,4
5618,121921,7
44531,30709,6
206325,19628,1
198569,217382,32
5627,2252,1
50692,23730,3
64428,15533,3
48658,1136,1
56861,0,0
205061,6105,1
15907,3262,1
34341,1201,1
50733,22385,3
60976,304856,18
206388,16331,8
64436,13240,2
50749,35595,5
60562,5547,1
197207,2447749,158
51469,58073,20
42586,4524,3
50795,25963,7
48762,203248,1
61055,5882,4
61061,9289,1
16018,6638,2
44691,5159,2
57625,27107,3
50855,1524,1
61103,5931,1
50868,7040,1
64434,26611,3
39200,1335,1
48838,14844,4
49100,1010191,89
34513,1883223,100
198357,25587,7
62048,10770,2
1756,446383,38
50810,1423127,62
57067,135700,9
48878,17277,1
200436,16191,2
61173,45903,11
61176,2091,1
42750,16370,1
200447,2453,1
48898,7841,1
206596,9779,1
48903,4584,2
61209,15369,3
34592,27316,3
201691,28837,3
206635,0,0
48944,821879,68
49844,32359,7
61239,21741,4
61246,13877,2
61248,30707,8
61250,63579,3
16200,319946,25
34636,6725,1
51026,52575,4
206675,5144,1
44889,732452,68
206692,8892,1
202601,7166,1
16235,21683,3
42867,9695,3
202616,6535,2
205802,36532,2
57218,1373123,137
44932,9749,4
57235,62413,14
57240,71938,8
57241,10542,6
42907,52559,13
16286,31890,4
42915,2436,1
16292,27297,1
202663,93150,5
49065,95655,2
51119,103749,14
61362,5574,1
51130,266379,40
16320,24401,1
16322,582559,111
200645,75548,None
61386,13419,5
49099,24495,5
57292,1125280,13
49103,566679,27
42960,72950,5
204781,31944,1
202735,34627,1
206840,9444,1
49148,334628,14
